filename,transcript
cs_0581.wav,oscar seven foxtrot charlie
cs_0033.wav,juliett quebec one echo quebec quebec
cs_0542.wav,juliett india five alpha yankee
cs_0937.wav,echo oscar one tango
cs_0240.wav,foxtrot bravo zero yankee echo foxtrot
rep_0149.wav,five nine zero five
rep_0034.wav,five nine two seven zero
cs_0476.wav,india hotel eight lima alpha
cs_0576.wav,juliett four november delta
rep_0077.wav,five nine four nine two
cs_0269.wav,november yankee nine november x-ray
cs_0971.wav,whiskey uniform eight golf
cs_0507.wav,kilo victor zero victor november
cs_0742.wav,kilo whiskey zero lima foxtrot
cs_0733.wav,x-ray one india uniform
cs_0185.wav,juliett x-ray zero delta romeo uniform
cs_0619.wav,kilo five golf golf
cs_0482.wav,november foxtrot zero x-ray tango
cs_0252.wav,juliett foxtrot one alpha kilo
cs_0545.wav,kilo x-ray six yankee golf
cs_0437.wav,sierra hotel zero papa x-ray
cs_0207.wav,whiskey charlie eight x-ray uniform hotel
rep_0177.wav,five nine zero seven six eight
rep_0238.wav,five nine one four three
cs_0853.wav,november kilo four whiskey oscar
rep_0120.wav,five nine eight four five nine
cs_0445.wav,whiskey foxtrot eight romeo sierra
cs_0580.wav,uniform india three zulu
cs_0894.wav,juliett tango eight foxtrot bravo
rep_0385.wav,five nine seven one seven
cs_0443.wav,bravo three alpha india
cs_0160.wav,whiskey victor five foxtrot quebec x-ray
cs_0062.wav,juliett uniform one echo romeo foxtrot
rep_0083.wav,five nine nine four
cs_0940.wav,zulu lima five india
rep_0377.wav,five nine three zero three
rep_0133.wav,five nine
cs_0320.wav,zulu x-ray two golf
cs_0699.wav,victor whiskey three zulu
cs_0818.wav,november kilo five echo whiskey
rep_0358.wav,five nine three nine one
rep_0161.wav,five nine five eight seven
cs_0565.wav,whiskey delta zero echo tango
cs_0750.wav,kilo whiskey two mike november
rep_0022.wav,five nine three four seven
cs_0968.wav,november kilo two charlie bravo
rep_0325.wav,five nine four zero five
cs_0083.wav,juliett kilo eight november echo november
cs_0368.wav,kilo papa eight oscar mike
cs_0051.wav,juliett whiskey zero papa bravo whiskey
cs_0712.wav,whiskey eight victor tango
cs_0637.wav,juliett bravo one delta zulu
cs_0744.wav,tango victor three delta tango
cs_0275.wav,lima lima five hotel bravo
cs_0075.wav,juliett tango four sierra papa uniform
cs_0117.wav,juliett x-ray eight uniform victor quebec
rep_0326.wav,five nine six seven zero
cs_0487.wav,yankee seven yankee
cs_0976.wav,kilo sierra two alpha victor
cs_0395.wav,kilo two papa echo
cs_0770.wav,kilo zero bravo
cs_0390.wav,november mike two charlie november
cs_0834.wav,juliett seven bravo
cs_0684.wav,whiskey zulu eight charlie alpha
rep_0339.wav,five nine eight eight zero nine
cs_0974.wav,whiskey zero hotel lima
cs_0352.wav,whiskey lima four uniform november
cs_0374.wav,echo echo seven lima
rep_0336.wav,five nine five eight seven
cs_0965.wav,tango eight november
rep_0285.wav,five nine
cs_0961.wav,kilo romeo six uniform echo
cs_0239.wav,november six india quebec yankee
cs_0746.wav,kilo seven romeo oscar
rep_0111.wav,five nine four two four
cs_0067.wav,juliett golf seven x-ray uniform papa
rep_0301.wav,five nine nine four zero
cs_0544.wav,romeo whiskey six bravo
cs_0587.wav,yankee tango nine kilo charlie
cs_0099.wav,juliett november seven alpha tango x-ray
rep_0016.wav,five nine seven nine eight
cs_0590.wav,alpha zulu five bravo mike
cs_0960.wav,india uniform nine bravo
rep_0109.wav,five nine six four nine
rep_0147.wav,five nine
cs_0404.wav,whiskey five quebec whiskey
cs_0284.wav,whiskey delta two juliett tango
cs_0624.wav,kilo sierra nine romeo delta
cs_0578.wav,whiskey lima two charlie
cs_0847.wav,juliett zero papa juliett
cs_0851.wav,mike mike eight victor oscar
cs_0970.wav,juliett oscar four oscar lima
cs_0369.wav,november six mike romeo
rep_0074.wav,five nine six four six
rep_0295.wav,five nine
cs_0985.wav,india golf zero oscar golf
cs_0911.wav,delta uniform seven quebec
rep_0240.wav,five nine eight one five
cs_0604.wav,yankee three mike zulu
cs_0097.wav,juliett echo three lima charlie whiskey
cs_0948.wav,kilo sierra seven charlie
cs_0203.wav,whiskey sierra four india x-ray whiskey
cs_0510.wav,papa zulu seven romeo mike
cs_0593.wav,kilo seven india x-ray
rep_0051.wav,five nine six six five
cs_0914.wav,november x-ray seven india uniform
rep_0025.wav,five nine
cs_0191.wav,golf one alpha victor hotel
cs_0861.wav,juliett four charlie
rep_0282.wav,five nine two five six
cs_0654.wav,kilo november one foxtrot x-ray
rep_0315.wav,five nine eight four three
cs_0577.wav,november kilo eight oscar hotel
rep_0092.wav,five nine one nine three
rep_0048.wav,five nine zero three seven six
rep_0006.wav,five nine seven five six
cs_0353.wav,golf tango three sierra papa
cs_0663.wav,whiskey nine papa delta
cs_0032.wav,juliett zulu seven quebec alpha alpha
cs_0101.wav,juliett mike five whiskey kilo india
rep_0137.wav,five nine zero nine six
cs_0479.wav,echo five alpha zulu
cs_0270.wav,tango charlie four uniform zulu
cs_0656.wav,kilo tango three foxtrot sierra
cs_0019.wav,juliett yankee two kilo romeo papa
cs_0302.wav,juliett india two x-ray india
cs_0720.wav,kilo one mike tango
cs_0950.wav,uniform three mike x-ray
cs_0211.wav,kilo hotel zero echo golf hotel
rep_0128.wav,five nine seven seven zero
rep_0278.wav,five nine four three one
cs_0146.wav,juliett kilo four whiskey tango november
cs_0997.wav,sierra eight yankee
cs_0794.wav,kilo echo two victor golf
cs_0180.wav,zulu hotel four papa mike mike
cs_0697.wav,juliett india six juliett
rep_0309.wav,five nine zero seven one
cs_0739.wav,tango romeo zero hotel
cs_0714.wav,bravo alpha one hotel
cs_0317.wav,whiskey romeo six whiskey zulu
rep_0178.wav,five nine four zero four
rep_0351.wav,five nine four one six
rep_0259.wav,five nine eight eight one five
rep_0194.wav,five nine
cs_0305.wav,juliett hotel four romeo quebec
rep_0132.wav,five nine six three
cs_0410.wav,yankee x-ray zero hotel alpha
cs_0015.wav,juliett juliett six kilo sierra charlie
rep_0095.wav,five nine three nine two
cs_0333.wav,kilo one papa golf
cs_0294.wav,november one foxtrot charlie
cs_0668.wav,echo seven india yankee
cs_0362.wav,juliett three zulu
cs_0071.wav,juliett charlie three delta mike uniform
cs_0107.wav,juliett uniform five x-ray yankee tango
rep_0253.wav,five nine six three nine seven
rep_0072.wav,five nine eight four
cs_0925.wav,alpha whiskey zero bravo
cs_0176.wav,tango romeo one papa yankee papa
cs_0426.wav,juliett bravo four x-ray
rep_0073.wav,five nine three six nine
cs_0722.wav,charlie whiskey six whiskey papa
rep_0183.wav,five nine zero two seven
rep_0232.wav,five nine three three four two
cs_0406.wav,x-ray lima six yankee kilo
rep_0086.wav,five nine two four four
cs_0687.wav,hotel five foxtrot
cs_0597.wav,november eight delta delta
cs_0283.wav,whiskey sierra zero india whiskey
cs_0921.wav,echo nine bravo delta
cs_0280.wav,x-ray papa four lima oscar
cs_0012.wav,juliett november one uniform kilo bravo
cs_0347.wav,whiskey charlie seven delta x-ray
cs_0926.wav,zulu two foxtrot juliett
rep_0179.wav,five nine one three two six
cs_0598.wav,echo victor zero kilo quebec
rep_0201.wav,five nine two nine eight
rep_0352.wav,five nine two four three
cs_0151.wav,echo five tango foxtrot victor
cs_0886.wav,kilo x-ray nine yankee quebec
cs_0123.wav,juliett tango zero golf oscar whiskey
cs_0371.wav,quebec foxtrot five hotel lima
cs_0850.wav,india five mike alpha
rep_0110.wav,five nine zero three one one
cs_0952.wav,juliett seven mike
rep_0107.wav,five nine zero seven two eight
rep_0015.wav,five nine two three seven
cs_0707.wav,yankee romeo four mike foxtrot
cs_0301.wav,november november seven bravo whiskey
cs_0810.wav,charlie india nine alpha india
rep_0202.wav,five nine nine seven
rep_0166.wav,five nine five seven two
rep_0165.wav,five nine seven three eight
cs_0538.wav,november seven juliett x-ray
cs_0760.wav,hotel yankee nine november
cs_0724.wav,alpha one zulu
rep_0324.wav,five nine one three four
rep_0391.wav,five nine two nine five seven
cs_0181.wav,kilo lima eight alpha hotel india
cs_0122.wav,juliett golf eight juliett quebec echo
cs_0044.wav,juliett delta six oscar sierra india
rep_0241.wav,five nine one one five
cs_0296.wav,charlie two romeo victor
cs_0721.wav,whiskey nine charlie alpha
cs_0114.wav,juliett lima zero sierra delta quebec
rep_0393.wav,five nine seven eight eight
rep_0204.wav,five nine four nine one
cs_0912.wav,kilo two kilo
rep_0060.wav,five nine two two nine
rep_0059.wav,five nine three seven zero
cs_0857.wav,whiskey november six tango
cs_0628.wav,delta bravo two charlie hotel
cs_0681.wav,whiskey eight quebec india
cs_0227.wav,whiskey juliett zero whiskey november delta
cs_0835.wav,november tango nine quebec charlie
cs_0573.wav,hotel tango one yankee sierra
cs_0824.wav,uniform three yankee whiskey
rep_0102.wav,five nine eight two nine
cs_0552.wav,whiskey alpha three golf romeo
cs_0028.wav,juliett charlie five whiskey x-ray sierra
cs_0291.wav,juliett kilo seven sierra
cs_0322.wav,kilo november eight hotel papa
cs_0814.wav,kilo november four charlie x-ray
rep_0039.wav,five nine five two one
cs_0378.wav,kilo x-ray nine uniform golf
cs_0215.wav,sierra six alpha sierra papa
cs_0673.wav,papa uniform six kilo yankee
rep_0244.wav,five nine four eight seven
rep_0209.wav,five nine six four eight
cs_0444.wav,kilo juliett one lima papa
cs_0243.wav,whiskey juliett three victor hotel x-ray
cs_0214.wav,kilo mike five yankee quebec bravo
cs_0606.wav,bravo six hotel victor
cs_0332.wav,romeo sierra seven delta
cs_0233.wav,hotel hotel nine sierra tango kilo
cs_0990.wav,whiskey romeo one november india
cs_0451.wav,alpha seven sierra zulu
cs_0172.wav,kilo echo one november zulu golf
cs_0039.wav,juliett yankee zero november golf victor
rep_0219.wav,five nine two nine four
cs_0662.wav,whiskey november eight romeo
cs_0596.wav,whiskey victor seven echo charlie
cs_0866.wav,sierra alpha one bravo lima
cs_0595.wav,kilo hotel eight india golf
cs_0631.wav,november six delta
cs_0896.wav,whiskey india two november
cs_0854.wav,juliett one mike yankee
rep_0190.wav,five nine one one one
rep_0317.wav,five nine eight zero five six
cs_0364.wav,juliett zero quebec
cs_0677.wav,lima charlie two golf sierra
cs_0765.wav,hotel india three echo
cs_0259.wav,kilo papa five november delta
cs_0001.wav,juliett india one november oscar lima
rep_0117.wav,five nine six six nine
cs_0521.wav,whiskey hotel two lima tango
cs_0264.wav,whiskey eight whiskey echo
cs_0131.wav,juliett alpha three echo kilo india
rep_0216.wav,five nine two seven one
rep_0243.wav,five nine four one four
rep_0332.wav,five nine three two two
cs_0730.wav,zulu one kilo oscar
rep_0206.wav,five nine zero five six one
cs_0377.wav,hotel two charlie juliett
cs_0072.wav,juliett zulu five kilo yankee charlie
cs_0144.wav,juliett kilo five oscar delta lima
rep_0064.wav,five nine three five five
rep_0225.wav,five nine seven five five
cs_0966.wav,kilo hotel zero delta
cs_0772.wav,tango romeo eight golf india
cs_0456.wav,victor zero india
cs_0883.wav,kilo india one x-ray
cs_0638.wav,juliett two sierra uniform
cs_0206.wav,november quebec five whiskey x-ray bravo
rep_0330.wav,five nine six two eight
cs_0963.wav,whiskey nine lima golf
rep_0011.wav,five nine five nine nine
cs_0079.wav,juliett yankee three whiskey kilo tango
cs_0822.wav,tango hotel eight zulu
cs_0614.wav,whiskey three zulu
cs_0900.wav,juliett india six echo sierra
cs_0190.wav,charlie two bravo mike mike
cs_0726.wav,bravo whiskey two tango
cs_0977.wav,golf mike five whiskey yankee
cs_0265.wav,kilo x-ray two yankee
cs_0328.wav,kilo six foxtrot uniform
rep_0329.wav,five nine eight two seven
cs_0913.wav,juliett yankee three x-ray quebec
cs_0755.wav,golf zero kilo bravo
cs_0692.wav,whiskey three golf oscar
rep_0304.wav,five nine five six three
cs_0727.wav,juliett charlie six juliett lima
rep_0302.wav,five nine seven nine three
cs_0919.wav,november seven x-ray alpha
cs_0885.wav,romeo uniform four x-ray victor
cs_0806.wav,juliett zero quebec victor
cs_0675.wav,kilo tango one oscar sierra
rep_0067.wav,five nine one zero eight
cs_0889.wav,juliett romeo five bravo
rep_0160.wav,five nine one three two
rep_0273.wav,five nine six one four
rep_0084.wav,five nine five eight two
rep_0001.wav,five nine six two eight
cs_0892.wav,whiskey delta eight foxtrot kilo
cs_0021.wav,juliett golf two november zulu romeo
cs_0667.wav,november zulu five india whiskey
cs_0682.wav,hotel zero quebec papa
cs_0351.wav,lima two oscar golf
cs_0323.wav,bravo four tango
cs_0617.wav,whiskey sierra six juliett papa
cs_0526.wav,kilo alpha two sierra uniform
cs_0738.wav,november papa four golf
cs_0713.wav,victor lima one tango victor
cs_0962.wav,kilo eight mike whiskey
cs_0582.wav,bravo zulu two kilo
cs_0411.wav,november tango eight delta sierra
cs_0979.wav,mike five lima kilo
cs_0499.wav,kilo six sierra
rep_0090.wav,five nine one nine seven
rep_0134.wav,five nine one one nine
cs_0450.wav,kilo four oscar quebec
rep_0096.wav,five nine three one one
cs_0138.wav,juliett sierra eight delta golf whiskey
cs_0453.wav,whiskey victor zero bravo
cs_0958.wav,delta mike five echo echo
cs_0826.wav,golf mike zero oscar
cs_0564.wav,juliett romeo five romeo
rep_0168.wav,five nine zero one four
rep_0030.wav,five nine five five two
cs_0992.wav,golf papa two golf whiskey
cs_0228.wav,juliett lima three zulu lima hotel
cs_0248.wav,whiskey sierra five sierra victor alpha
rep_0033.wav,five nine one nine seven
cs_0625.wav,kilo hotel zero kilo delta
cs_0927.wav,bravo zulu nine alpha papa
cs_0178.wav,juliett three echo sierra x-ray
cs_0496.wav,whiskey eight romeo papa
rep_0390.wav,five nine seven zero four
cs_0250.wav,kilo echo two quebec tango charlie
cs_0752.wav,whiskey zero yankee
cs_0924.wav,uniform two lima golf
cs_0345.wav,juliett whiskey three golf november
cs_0998.wav,whiskey five sierra
cs_0077.wav,juliett tango two india uniform whiskey
cs_0467.wav,november three quebec whiskey
cs_0500.wav,whiskey hotel six zulu kilo
cs_0514.wav,foxtrot quebec zero november yankee
cs_0645.wav,romeo eight quebec victor
cs_0557.wav,kilo quebec seven romeo delta
rep_0035.wav,five nine nine six nine
cs_0034.wav,juliett sierra nine kilo tango papa
cs_0457.wav,whiskey zulu eight tango
cs_0553.wav,tango lima six papa zulu
rep_0368.wav,five nine three nine four
cs_0179.wav,kilo mike one kilo echo quebec
cs_0548.wav,juliett romeo six foxtrot juliett
cs_0048.wav,juliett alpha one bravo echo hotel
rep_0277.wav,five nine
cs_0710.wav,november victor seven echo uniform
cs_0783.wav,juliett golf two yankee
cs_0848.wav,kilo victor five sierra
cs_0678.wav,kilo foxtrot eight bravo foxtrot
cs_0223.wav,alpha three yankee oscar uniform
cs_0773.wav,juliett four papa sierra
rep_0008.wav,five nine seven eight four
cs_0859.wav,juliett alpha one delta x-ray
cs_0836.wav,kilo india zero november juliett
cs_0622.wav,whiskey whiskey six mike bravo
cs_0241.wav,tango yankee nine uniform lima kilo
cs_0946.wav,golf nine india
rep_0044.wav,five nine nine zero eight
cs_0187.wav,whiskey two victor hotel yankee
cs_0384.wav,hotel papa eight foxtrot
cs_0508.wav,india whiskey one yankee charlie
rep_0119.wav,five nine
cs_0446.wav,alpha bravo nine bravo romeo
rep_0125.wav,five nine
cs_0386.wav,juliett one uniform romeo
rep_0113.wav,five nine eight four five
rep_0213.wav,five nine six three two
cs_0319.wav,november delta two quebec
cs_0953.wav,whiskey bravo one india whiskey
cs_0325.wav,sierra alpha six november oscar
cs_0766.wav,foxtrot eight hotel mike
rep_0354.wav,five nine five zero zero
cs_0846.wav,x-ray four echo uniform
cs_0586.wav,whiskey echo four quebec lima
cs_0081.wav,juliett golf six mike whiskey november
rep_0220.wav,five nine four three one
cs_0049.wav,juliett yankee four oscar india bravo
rep_0337.wav,five nine seven nine
rep_0218.wav,five nine
cs_0421.wav,alpha bravo three india
rep_0341.wav,five nine zero seven zero
cs_0504.wav,lima alpha nine charlie golf
cs_0168.wav,whiskey kilo two kilo kilo juliett
rep_0245.wav,five nine four one five four
cs_0393.wav,alpha sierra three golf
cs_0059.wav,juliett quebec four papa golf lima
cs_0050.wav,juliett juliett five papa yankee papa
cs_0984.wav,lima eight yankee foxtrot
cs_0986.wav,kilo bravo one november victor
cs_0400.wav,juliett zulu one golf papa
cs_0213.wav,oscar charlie one kilo golf lima
rep_0153.wav,five nine eight seven eight
cs_0435.wav,juliett delta zero foxtrot delta
cs_0987.wav,november seven whiskey
cs_0888.wav,bravo three india charlie
cs_0877.wav,whiskey five bravo quebec
cs_0641.wav,oscar india nine alpha foxtrot
rep_0018.wav,five nine one six nine
cs_0293.wav,whiskey romeo one oscar sierra
cs_0640.wav,charlie oscar six sierra x-ray
cs_0169.wav,juliett zero sierra alpha sierra
cs_0471.wav,kilo india two x-ray golf
cs_0878.wav,kilo juliett zero november november
cs_0512.wav,uniform one zulu zulu
cs_0609.wav,whiskey four alpha golf
rep_0158.wav,five nine five four one two
cs_0787.wav,kilo tango eight echo bravo
rep_0312.wav,five nine four five three
cs_0874.wav,foxtrot golf one juliett zulu
cs_0341.wav,delta four november echo
cs_0751.wav,golf sierra two golf x-ray
cs_0478.wav,juliett three tango
rep_0274.wav,five nine five six four
cs_0791.wav,whiskey quebec four delta
rep_0009.wav,five nine zero seven eight
cs_0287.wav,whiskey zero tango
cs_0025.wav,juliett mike two x-ray hotel november
cs_0121.wav,juliett mike five juliett oscar november
cs_0491.wav,echo november two foxtrot zulu
cs_0129.wav,juliett kilo six romeo delta india
cs_0930.wav,kilo zulu four delta india
cs_0652.wav,whiskey lima seven india alpha
cs_0111.wav,juliett bravo three uniform victor bravo
rep_0150.wav,five nine six seven nine
rep_0066.wav,five nine one four eight
rep_0129.wav,five nine two nine three
rep_0387.wav,five nine nine four six
cs_0701.wav,kilo one victor zulu
rep_0176.wav,five nine
rep_0205.wav,five nine one two four
cs_0078.wav,juliett foxtrot six zulu uniform mike
cs_0639.wav,november two sierra india
rep_0026.wav,five nine nine four four
cs_0159.wav,whiskey lima eight quebec zulu whiskey
cs_0193.wav,uniform romeo one alpha foxtrot echo
rep_0345.wav,five nine three six seven
cs_0841.wav,alpha eight tango romeo
cs_0858.wav,november eight echo november
cs_0109.wav,juliett foxtrot two victor tango mike
cs_0002.wav,juliett sierra one mike november foxtrot
cs_0103.wav,juliett juliett three victor tango charlie
cs_0743.wav,juliett sierra seven yankee
rep_0271.wav,five nine zero five eight
cs_0086.wav,juliett india nine charlie romeo uniform
cs_0612.wav,kilo alpha nine foxtrot
cs_0162.wav,romeo x-ray seven delta romeo quebec
cs_0412.wav,juliett romeo eight foxtrot victor
cs_0665.wav,whiskey foxtrot one november
rep_0065.wav,five nine
cs_0343.wav,juliett nine romeo bravo
cs_0431.wav,november whiskey eight zulu tango
rep_0272.wav,five nine four seven one
cs_0397.wav,whiskey yankee nine tango bravo
cs_0058.wav,juliett mike four november yankee zulu
cs_0922.wav,bravo mike four x-ray
cs_0870.wav,juliett india six mike lima
cs_0729.wav,kilo nine hotel yankee
cs_0300.wav,quebec hotel nine november whiskey
rep_0318.wav,five nine three three five
cs_0124.wav,juliett tango five lima uniform india
cs_0804.wav,juliett victor eight x-ray x-ray
cs_0754.wav,alpha oscar four quebec
rep_0116.wav,five nine five eight five
cs_0139.wav,juliett echo three kilo alpha kilo
cs_0464.wav,charlie nine sierra x-ray
cs_0703.wav,whiskey november six foxtrot foxtrot
cs_0798.wav,whiskey whiskey eight kilo november
rep_0054.wav,five nine
cs_0630.wav,whiskey five foxtrot echo
cs_0344.wav,november nine yankee november
cs_0339.wav,november november six uniform
cs_0427.wav,kilo lima four charlie kilo
cs_0505.wav,kilo juliett eight november lima
cs_0018.wav,juliett hotel one bravo hotel whiskey
rep_0300.wav,five nine zero eight three
cs_0120.wav,juliett juliett zero delta bravo november
cs_0528.wav,november zulu seven x-ray
rep_0293.wav,five nine three eight three
cs_0380.wav,kilo charlie eight romeo tango
cs_0417.wav,charlie seven oscar
rep_0122.wav,five nine zero two four
cs_0113.wav,juliett tango six alpha sierra oscar
cs_0796.wav,whiskey charlie seven whiskey
cs_0383.wav,november eight november romeo
cs_0862.wav,kilo zero uniform
rep_0103.wav,five nine zero five five
cs_0118.wav,juliett sierra five juliett x-ray alpha
rep_0005.wav,five nine zero zero six
cs_0982.wav,juliett alpha three november juliett
cs_0817.wav,kilo november seven papa romeo
cs_0558.wav,tango three charlie
cs_0312.wav,india alpha two bravo
rep_0372.wav,five nine five two zero
cs_0337.wav,juliett papa nine zulu mike
cs_0980.wav,mike nine golf
cs_0736.wav,delta oscar four x-ray whiskey
cs_0184.wav,mike three quebec juliett romeo
rep_0198.wav,five nine three seven five
cs_0468.wav,kilo india two mike
rep_0010.wav,five nine eight zero seven
rep_0145.wav,five nine three nine eight
cs_0636.wav,x-ray two romeo
rep_0151.wav,five nine
cs_0375.wav,golf six foxtrot tango
cs_0041.wav,juliett golf eight romeo charlie echo
cs_0385.wav,uniform one kilo
cs_0150.wav,juliett charlie four november whiskey foxtrot
cs_0009.wav,juliett tango six charlie uniform charlie
cs_0070.wav,juliett sierra two zulu mike november
cs_0648.wav,november kilo two x-ray
rep_0029.wav,five nine seven four five
cs_0605.wav,victor four quebec
cs_0022.wav,juliett mike two uniform victor bravo
cs_0232.wav,kilo four oscar zulu papa
cs_0257.wav,kilo tango one victor x-ray
cs_0147.wav,juliett kilo four india november hotel
cs_0572.wav,november x-ray one zulu tango
cs_0469.wav,juliett five delta golf
cs_0938.wav,hotel november three lima zulu
cs_0388.wav,india zero romeo india
cs_0447.wav,oscar golf eight papa x-ray
cs_0534.wav,victor nine whiskey yankee
cs_0013.wav,juliett x-ray one juliett echo uniform
cs_0359.wav,romeo five echo
rep_0123.wav,five nine
cs_0357.wav,november echo eight kilo oscar
cs_0354.wav,juliett nine victor hotel
rep_0288.wav,five nine four nine nine
rep_0292.wav,five nine six eight seven zero
cs_0342.wav,november four charlie whiskey
cs_0143.wav,juliett quebec eight kilo quebec charlie
cs_0104.wav,juliett sierra nine foxtrot kilo lima
cs_0091.wav,juliett romeo one echo hotel sierra
cs_0289.wav,kilo romeo five papa
cs_0882.wav,kilo delta zero alpha sierra
rep_0174.wav,five nine nine eight two
cs_0957.wav,november victor zero x-ray
rep_0112.wav,five nine nine two two
rep_0291.wav,five nine six eight three
cs_0972.wav,oscar echo nine yankee uniform
cs_0993.wav,lima two zulu tango
cs_0764.wav,november november eight whiskey
rep_0167.wav,five nine one zero six
cs_0189.wav,november yankee two uniform november zulu
rep_0357.wav,five nine nine zero three
rep_0085.wav,five nine
cs_0632.wav,india six foxtrot kilo
